=== SEEDER RUN STARTED Sun Apr  5 12:24:07 EDT 2026 ===

=== PHASE 1: Cross-seed from pricing models ===
Started: Sun Apr  5 12:24:07 EDT 2026
Cities: 739 | Services: roofing, hvac, plumbing, electrical, solar | Max: all
  SEED Dothan, AL [hvac] = $8,100 (trust=90)
  SEED Paterson, NJ [hvac] = $12,100 (trust=90)
  SEED Paterson, NJ [plumbing] = $3,300 (trust=90)
  SEED Paterson, NJ [electrical] = $3,200 (trust=90)
  SEED Paterson, NJ [solar] = $36,200 (trust=90)
  SEED Perth Amboy, NJ [roofing] = $16,400 (trust=90)
  SEED Perth Amboy, NJ [hvac] = $12,100 (trust=90)
  SEED Perth Amboy, NJ [plumbing] = $3,300 (trust=90)
  SEED Perth Amboy, NJ [electrical] = $3,200 (trust=90)
  SEED Perth Amboy, NJ [solar] = $36,200 (trust=90)
  SEED Plainfield, NJ [roofing] = $16,400 (trust=90)
  SEED Plainfield, NJ [hvac] = $12,100 (trust=90)
  SEED Plainfield, NJ [plumbing] = $3,300 (trust=90)
  SEED Plainfield, NJ [electrical] = $3,200 (trust=90)
  SEED Plainfield, NJ [solar] = $36,200 (trust=90)
  SEED Sayreville, NJ [roofing] = $16,400 (trust=90)
  SEED Sayreville, NJ [hvac] = $12,100 (trust=90)
  SEED Sayreville, NJ [plumbing] = $3,300 (trust=90)
  SEED Sayreville, NJ [electrical] = $3,200 (trust=90)
  SEED Sayreville, NJ [solar] = $36,200 (trust=90)
  SEED Trenton, NJ [roofing] = $18,200 (trust=90)
  SEED Trenton, NJ [plumbing] = $3,100 (trust=90)
  SEED Trenton, NJ [electrical] = $3,300 (trust=90)
  SEED Trenton, NJ [solar] = $37,600 (trust=90)
  SEED Union City, NJ [roofing] = $16,400 (trust=90)
  SEED Union City, NJ [hvac] = $12,100 (trust=90)
  SEED Union City, NJ [plumbing] = $3,300 (trust=90)
  SEED Union City, NJ [electrical] = $3,200 (trust=90)
  SEED Union City, NJ [solar] = $36,200 (trust=90)
... 450/739 cities processed (2137 seeded, 113 skipped)
  SEED Vineland, NJ [roofing] = $15,600 (trust=90)
  SEED Vineland, NJ [hvac] = $11,000 (trust=90)
  SEED Vineland, NJ [plumbing] = $3,000 (trust=90)
  SEED Vineland, NJ [electrical] = $3,000 (trust=90)
  SEED Vineland, NJ [solar] = $34,100 (trust=90)
  SEED West New York, NJ [roofing] = $16,400 (trust=90)
  SEED West New York, NJ [hvac] = $12,100 (trust=90)
  SEED West New York, NJ [plumbing] = $3,300 (trust=90)
  SEED West New York, NJ [electrical] = $3,200 (trust=90)
  SEED West New York, NJ [solar] = $36,200 (trust=90)
  SEED Albuquerque, NM [roofing] = $11,800 (trust=90)
  SEED Albuquerque, NM [plumbing] = $2,600 (trust=90)
  SEED Albuquerque, NM [electrical] = $2,500 (trust=90)
  SEED Albuquerque, NM [solar] = $28,000 (trust=90)
  SEED Clovis, NM [roofing] = $11,800 (trust=90)
  SEED Clovis, NM [hvac] = $9,700 (trust=90)
  SEED Clovis, NM [plumbing] = $2,600 (trust=90)
  SEED Clovis, NM [electrical] = $2,500 (trust=90)
  SEED Clovis, NM [solar] = $28,000 (trust=90)
  SEED Farmington, NM [roofing] = $10,500 (trust=90)
  SEED Farmington, NM [hvac] = $9,100 (trust=90)
  SEED Farmington, NM [plumbing] = $2,200 (trust=90)
  SEED Farmington, NM [electrical] = $2,400 (trust=90)
  SEED Farmington, NM [solar] = $26,900 (trust=90)
  SEED Las Cruces, NM [roofing] = $10,800 (trust=90)
  SEED Las Cruces, NM [hvac] = $9,100 (trust=90)
  SEED Las Cruces, NM [plumbing] = $2,300 (trust=90)
  SEED Las Cruces, NM [electrical] = $2,300 (trust=90)
  SEED Las Cruces, NM [solar] = $26,200 (trust=90)
  SEED Rio Rancho, NM [roofing] = $11,800 (trust=90)
  SEED Rio Rancho, NM [hvac] = $9,700 (trust=90)
  SEED Rio Rancho, NM [plumbing] = $2,600 (trust=90)
  SEED Rio Rancho, NM [electrical] = $2,500 (trust=90)
  SEED Rio Rancho, NM [solar] = $28,000 (trust=90)
  SEED Roswell, NM [roofing] = $11,800 (trust=90)
  SEED Roswell, NM [hvac] = $9,700 (trust=90)
  SEED Roswell, NM [plumbing] = $2,600 (trust=90)
  SEED Roswell, NM [electrical] = $2,500 (trust=90)
  SEED Roswell, NM [solar] = $28,000 (trust=90)
  SEED Santa Fe, NM [roofing] = $12,000 (trust=90)
  SEED Santa Fe, NM [hvac] = $9,300 (trust=90)
  SEED Santa Fe, NM [plumbing] = $2,500 (trust=90)
  SEED Santa Fe, NM [electrical] = $2,600 (trust=90)
  SEED Santa Fe, NM [solar] = $29,400 (trust=90)
  SEED Albany, NY [roofing] = $14,100 (trust=90)
  SEED Albany, NY [plumbing] = $3,100 (trust=90)
  SEED Albany, NY [electrical] = $2,900 (trust=90)
  SEED Binghamton, NY [roofing] = $13,500 (trust=90)
  SEED Binghamton, NY [hvac] = $10,100 (trust=90)
  SEED Binghamton, NY [plumbing] = $2,700 (trust=90)
  SEED Binghamton, NY [electrical] = $2,900 (trust=90)
  SEED Binghamton, NY [solar] = $32,800 (trust=90)
  SEED Buffalo, NY [electrical] = $2,900 (trust=90)
  SEED Buffalo, NY [solar] = $32,800 (trust=90)
  SEED Freeport, NY [roofing] = $14,100 (trust=90)
  SEED Freeport, NY [hvac] = $10,500 (trust=90)
  SEED Freeport, NY [plumbing] = $3,100 (trust=90)
  SEED Freeport, NY [electrical] = $2,900 (trust=90)
  SEED Freeport, NY [solar] = $32,500 (trust=90)
  SEED Hempstead, NY [roofing] = $14,100 (trust=90)
  SEED Hempstead, NY [hvac] = $10,500 (trust=90)
  SEED Hempstead, NY [plumbing] = $3,100 (trust=90)
  SEED Hempstead, NY [electrical] = $2,900 (trust=90)
  SEED Hempstead, NY [solar] = $32,500 (trust=90)
  SEED Mount Vernon, NY [roofing] = $14,100 (trust=90)
  SEED Mount Vernon, NY [hvac] = $10,500 (trust=90)
  SEED Mount Vernon, NY [plumbing] = $3,100 (trust=90)
  SEED Mount Vernon, NY [electrical] = $2,900 (trust=90)
  SEED Mount Vernon, NY [solar] = $32,500 (trust=90)
  SEED New Rochelle, NY [roofing] = $14,100 (trust=90)
  SEED New Rochelle, NY [hvac] = $10,500 (trust=90)
  SEED New Rochelle, NY [plumbing] = $3,100 (trust=90)
  SEED New Rochelle, NY [electrical] = $2,900 (trust=90)
  SEED New Rochelle, NY [solar] = $32,500 (trust=90)
  SEED New York, NY [plumbing] = $3,300 (trust=90)
  SEED Niagara Falls, NY [roofing] = $14,100 (trust=90)
  SEED Niagara Falls, NY [hvac] = $10,500 (trust=90)
  SEED Niagara Falls, NY [plumbing] = $3,100 (trust=90)
  SEED Niagara Falls, NY [electrical] = $2,900 (trust=90)
  SEED Niagara Falls, NY [solar] = $32,500 (trust=90)
  SEED Rochester, NY [roofing] = $13,700 (trust=90)
  SEED Rochester, NY [hvac] = $10,200 (trust=90)
  SEED Rochester, NY [plumbing] = $2,700 (trust=90)
  SEED Rochester, NY [electrical] = $2,900 (trust=90)
  SEED Rochester, NY [solar] = $32,500 (trust=90)
  SEED Schenectady, NY [roofing] = $14,100 (trust=90)
  SEED Schenectady, NY [hvac] = $10,500 (trust=90)
  SEED Schenectady, NY [plumbing] = $3,100 (trust=90)
  SEED Schenectady, NY [electrical] = $2,900 (trust=90)
  SEED Schenectady, NY [solar] = $32,500 (trust=90)
  SEED Syracuse, NY [roofing] = $13,400 (trust=90)
  SEED Syracuse, NY [hvac] = $10,200 (trust=90)
  SEED Syracuse, NY [plumbing] = $2,700 (trust=90)
  SEED Syracuse, NY [electrical] = $2,800 (trust=90)
  SEED Syracuse, NY [solar] = $31,600 (trust=90)
  SEED Troy, NY [roofing] = $14,100 (trust=90)
  SEED Troy, NY [hvac] = $10,500 (trust=90)
  SEED Troy, NY [plumbing] = $3,100 (trust=90)
  SEED Troy, NY [electrical] = $2,900 (trust=90)
  SEED Troy, NY [solar] = $32,500 (trust=90)
  SEED Utica, NY [roofing] = $13,200 (trust=90)
  SEED Utica, NY [hvac] = $9,700 (trust=90)
  SEED Utica, NY [plumbing] = $2,500 (trust=90)
  SEED Utica, NY [electrical] = $2,600 (trust=90)
  SEED Utica, NY [solar] = $29,000 (trust=90)
  SEED Valley Stream, NY [roofing] = $14,100 (trust=90)
  SEED Valley Stream, NY [hvac] = $10,500 (trust=90)
  SEED Valley Stream, NY [plumbing] = $3,100 (trust=90)
  SEED Valley Stream, NY [electrical] = $2,900 (trust=90)
  SEED Valley Stream, NY [solar] = $32,500 (trust=90)
  SEED White Plains, NY [roofing] = $14,100 (trust=90)
  SEED White Plains, NY [hvac] = $10,500 (trust=90)
  SEED White Plains, NY [plumbing] = $3,100 (trust=90)
  SEED White Plains, NY [electrical] = $2,900 (trust=90)
  SEED White Plains, NY [solar] = $32,500 (trust=90)
  SEED Yonkers, NY [roofing] = $14,100 (trust=90)
  SEED Yonkers, NY [hvac] = $10,500 (trust=90)
  SEED Yonkers, NY [plumbing] = $3,100 (trust=90)
  SEED Yonkers, NY [electrical] = $2,900 (trust=90)
  SEED Yonkers, NY [solar] = $32,500 (trust=90)
  SEED Apex, NC [roofing] = $12,300 (trust=90)
  SEED Apex, NC [hvac] = $9,400 (trust=90)
  SEED Apex, NC [plumbing] = $2,500 (trust=90)
  SEED Apex, NC [electrical] = $2,500 (trust=90)
  SEED Apex, NC [solar] = $28,300 (trust=90)
  SEED Asheville, NC [roofing] = $11,700 (trust=90)
  SEED Asheville, NC [hvac] = $9,200 (trust=90)
  SEED Asheville, NC [plumbing] = $2,600 (trust=90)
  SEED Asheville, NC [electrical] = $2,400 (trust=90)
  SEED Asheville, NC [solar] = $27,000 (trust=90)
  SEED Burlington, NC [roofing] = $11,300 (trust=90)
  SEED Burlington, NC [hvac] = $8,900 (trust=90)
  SEED Burlington, NC [plumbing] = $2,300 (trust=90)
  SEED Burlington, NC [electrical] = $2,300 (trust=90)
  SEED Burlington, NC [solar] = $26,000 (trust=90)
  SEED Cary, NC [roofing] = $12,300 (trust=90)
  SEED Cary, NC [hvac] = $9,400 (trust=90)
  SEED Cary, NC [plumbing] = $2,500 (trust=90)
  SEED Cary, NC [electrical] = $2,500 (trust=90)
  SEED Cary, NC [solar] = $28,300 (trust=90)
  SEED Chapel Hill, NC [roofing] = $12,200 (trust=90)
  SEED Chapel Hill, NC [hvac] = $9,400 (trust=90)
  SEED Chapel Hill, NC [plumbing] = $2,600 (trust=90)
  SEED Chapel Hill, NC [electrical] = $2,500 (trust=90)
  SEED Chapel Hill, NC [solar] = $28,800 (trust=90)
  SEED Charlotte, NC [plumbing] = $2,500 (trust=90)
  SEED Concord, NC [roofing] = $12,200 (trust=90)
  SEED Concord, NC [hvac] = $9,600 (trust=90)
  SEED Concord, NC [plumbing] = $2,500 (trust=90)
  SEED Concord, NC [electrical] = $2,500 (trust=90)
  SEED Concord, NC [solar] = $28,400 (trust=90)
  SEED Durham, NC [roofing] = $12,200 (trust=90)
  SEED Durham, NC [hvac] = $9,400 (trust=90)
  SEED Durham, NC [plumbing] = $2,600 (trust=90)
  SEED Durham, NC [electrical] = $2,500 (trust=90)
  SEED Durham, NC [solar] = $28,800 (trust=90)
  SEED Fayetteville, NC [roofing] = $10,800 (trust=90)
  SEED Fayetteville, NC [hvac] = $8,900 (trust=90)
  SEED Fayetteville, NC [plumbing] = $2,300 (trust=90)
  SEED Fayetteville, NC [electrical] = $2,400 (trust=90)
  SEED Fayetteville, NC [solar] = $26,500 (trust=90)
  SEED Gastonia, NC [roofing] = $12,200 (trust=90)
  SEED Gastonia, NC [hvac] = $9,600 (trust=90)
  SEED Gastonia, NC [plumbing] = $2,500 (trust=90)
  SEED Gastonia, NC [electrical] = $2,500 (trust=90)
  SEED Gastonia, NC [solar] = $28,400 (trust=90)
  SEED Greensboro, NC [roofing] = $11,700 (trust=90)
  SEED Greensboro, NC [hvac] = $9,000 (trust=90)
  SEED Greensboro, NC [plumbing] = $2,300 (trust=90)
  SEED Greensboro, NC [electrical] = $2,400 (trust=90)
  SEED Greensboro, NC [solar] = $27,300 (trust=90)
  SEED Greenville, NC [roofing] = $11,300 (trust=90)
  SEED Greenville, NC [hvac] = $8,800 (trust=90)
  SEED Greenville, NC [plumbing] = $2,500 (trust=90)
  SEED Greenville, NC [electrical] = $2,300 (trust=90)
  SEED Greenville, NC [solar] = $26,600 (trust=90)
  SEED Hickory, NC [roofing] = $11,400 (trust=90)
  SEED Hickory, NC [hvac] = $8,600 (trust=90)
  SEED Hickory, NC [plumbing] = $2,300 (trust=90)
  SEED Hickory, NC [electrical] = $2,300 (trust=90)
  SEED Hickory, NC [solar] = $26,100 (trust=90)
  SEED High Point, NC [roofing] = $11,700 (trust=90)
  SEED High Point, NC [hvac] = $9,000 (trust=90)
  SEED High Point, NC [plumbing] = $2,300 (trust=90)
  SEED High Point, NC [electrical] = $2,400 (trust=90)
  SEED High Point, NC [solar] = $27,300 (trust=90)
  SEED Huntersville, NC [roofing] = $12,200 (trust=90)
  SEED Huntersville, NC [hvac] = $9,600 (trust=90)
  SEED Huntersville, NC [plumbing] = $2,500 (trust=90)
  SEED Huntersville, NC [electrical] = $2,500 (trust=90)
  SEED Huntersville, NC [solar] = $28,400 (trust=90)
  SEED Jacksonville, NC [roofing] = $11,000 (trust=90)
  SEED Jacksonville, NC [hvac] = $8,600 (trust=90)
  SEED Jacksonville, NC [plumbing] = $2,300 (trust=90)
  SEED Jacksonville, NC [electrical] = $2,300 (trust=90)
  SEED Jacksonville, NC [solar] = $26,300 (trust=90)
  SEED Kannapolis, NC [roofing] = $12,100 (trust=90)
  SEED Kannapolis, NC [hvac] = $9,600 (trust=90)
  SEED Kannapolis, NC [plumbing] = $2,500 (trust=90)
  SEED Kannapolis, NC [electrical] = $2,500 (trust=90)
  SEED Kannapolis, NC [solar] = $28,300 (trust=90)
  SEED Raleigh, NC [plumbing] = $2,500 (trust=90)
  SEED Raleigh, NC [electrical] = $2,500 (trust=90)
  SEED Raleigh, NC [solar] = $28,300 (trust=90)
  SEED Rocky Mount, NC [roofing] = $10,400 (trust=90)
  SEED Rocky Mount, NC [hvac] = $8,400 (trust=90)
  SEED Rocky Mount, NC [plumbing] = $2,300 (trust=90)
  SEED Rocky Mount, NC [electrical] = $2,200 (trust=90)
  SEED Rocky Mount, NC [solar] = $24,800 (trust=90)
  SEED Wilmington, NC [roofing] = $12,000 (trust=90)
  SEED Wilmington, NC [hvac] = $8,900 (trust=90)
  SEED Wilmington, NC [plumbing] = $2,400 (trust=90)
  SEED Wilmington, NC [electrical] = $2,400 (trust=90)
  SEED Wilmington, NC [solar] = $27,200 (trust=90)
  SEED Wilson, NC [roofing] = $12,100 (trust=90)
  SEED Wilson, NC [hvac] = $9,600 (trust=90)
  SEED Wilson, NC [plumbing] = $2,500 (trust=90)
  SEED Wilson, NC [electrical] = $2,500 (trust=90)
  SEED Wilson, NC [solar] = $28,300 (trust=90)
  SEED Winston-Salem, NC [roofing] = $12,100 (trust=90)
  SEED Winston-Salem, NC [hvac] = $9,600 (trust=90)
  SEED Winston-Salem, NC [plumbing] = $2,500 (trust=90)
  SEED Winston-Salem, NC [electrical] = $2,500 (trust=90)
  SEED Winston-Salem, NC [solar] = $28,300 (trust=90)
  SEED Bismarck, ND [roofing] = $12,100 (trust=90)
  SEED Bismarck, ND [hvac] = $9,800 (trust=90)
  SEED Bismarck, ND [plumbing] = $2,600 (trust=90)
  SEED Bismarck, ND [electrical] = $2,500 (trust=90)
  SEED Bismarck, ND [solar] = $28,500 (trust=90)
  SEED Fargo, ND [roofing] = $12,500 (trust=90)
  SEED Fargo, ND [hvac] = $10,700 (trust=90)
  SEED Fargo, ND [plumbing] = $2,600 (trust=90)
  SEED Fargo, ND [electrical] = $2,800 (trust=90)
  SEED Fargo, ND [solar] = $31,100 (trust=90)
... 500/739 cities processed (2371 seeded, 129 skipped)
  SEED Grand Forks, ND [roofing] = $12,200 (trust=90)
  SEED Grand Forks, ND [hvac] = $10,200 (trust=90)
  SEED Grand Forks, ND [plumbing] = $2,500 (trust=90)
  SEED Grand Forks, ND [electrical] = $2,600 (trust=90)
  SEED Grand Forks, ND [solar] = $29,200 (trust=90)
  SEED Minot, ND [roofing] = $12,400 (trust=90)
  SEED Minot, ND [hvac] = $10,400 (trust=90)
  SEED Minot, ND [plumbing] = $2,500 (trust=90)
  SEED Minot, ND [electrical] = $2,500 (trust=90)
  SEED Minot, ND [solar] = $28,500 (trust=90)
  SEED Akron, OH [roofing] = $13,400 (trust=90)
  SEED Akron, OH [hvac] = $10,300 (trust=90)
  SEED Akron, OH [plumbing] = $2,600 (trust=90)
  SEED Akron, OH [electrical] = $2,800 (trust=90)
  SEED Akron, OH [solar] = $31,800 (trust=90)
  SEED Beavercreek, OH [roofing] = $12,900 (trust=90)
  SEED Beavercreek, OH [hvac] = $10,000 (trust=90)
  SEED Beavercreek, OH [plumbing] = $2,600 (trust=90)
  SEED Beavercreek, OH [electrical] = $2,600 (trust=90)
  SEED Beavercreek, OH [solar] = $29,400 (trust=90)
  SEED Canton, OH [roofing] = $12,100 (trust=90)
  SEED Canton, OH [hvac] = $9,400 (trust=90)
  SEED Canton, OH [plumbing] = $2,500 (trust=90)
  SEED Canton, OH [electrical] = $2,900 (trust=90)
  SEED Canton, OH [solar] = $32,400 (trust=90)
  SEED Cincinnati, OH [roofing] = $13,000 (trust=90)
  SEED Cincinnati, OH [hvac] = $10,000 (trust=90)
  SEED Cincinnati, OH [electrical] = $2,600 (trust=90)
  SEED Cincinnati, OH [solar] = $29,900 (trust=90)
  SEED Cleveland, OH [roofing] = $13,600 (trust=90)
  SEED Cleveland, OH [hvac] = $10,100 (trust=90)
  SEED Cleveland, OH [plumbing] = $2,700 (trust=90)
  SEED Cleveland, OH [electrical] = $2,700 (trust=90)
  SEED Cleveland, OH [solar] = $31,100 (trust=90)
  SEED Cleveland Heights, OH [roofing] = $13,600 (trust=90)
  SEED Cleveland Heights, OH [hvac] = $10,100 (trust=90)
  SEED Cleveland Heights, OH [plumbing] = $2,700 (trust=90)
  SEED Cleveland Heights, OH [electrical] = $2,700 (trust=90)
  SEED Cleveland Heights, OH [solar] = $31,100 (trust=90)
  SEED Columbus, OH [hvac] = $10,200 (trust=90)
  SEED Columbus, OH [plumbing] = $2,700 (trust=90)
  SEED Columbus, OH [electrical] = $2,700 (trust=90)
  SEED Cuyahoga Falls, OH [roofing] = $13,400 (trust=90)
  SEED Cuyahoga Falls, OH [hvac] = $10,300 (trust=90)
  SEED Cuyahoga Falls, OH [plumbing] = $2,600 (trust=90)
  SEED Cuyahoga Falls, OH [electrical] = $2,800 (trust=90)
  SEED Cuyahoga Falls, OH [solar] = $31,800 (trust=90)
  SEED Dayton, OH [roofing] = $12,900 (trust=90)
  SEED Dayton, OH [hvac] = $10,000 (trust=90)
  SEED Dayton, OH [plumbing] = $2,600 (trust=90)
  SEED Dayton, OH [electrical] = $2,600 (trust=90)
  SEED Dayton, OH [solar] = $29,400 (trust=90)
  SEED Dublin, OH [roofing] = $13,700 (trust=90)
  SEED Dublin, OH [hvac] = $10,200 (trust=90)
  SEED Dublin, OH [plumbing] = $2,700 (trust=90)
  SEED Dublin, OH [electrical] = $2,700 (trust=90)
  SEED Dublin, OH [solar] = $30,900 (trust=90)
  SEED Elyria, OH [roofing] = $13,600 (trust=90)
  SEED Elyria, OH [hvac] = $10,100 (trust=90)
  SEED Elyria, OH [plumbing] = $2,700 (trust=90)
  SEED Elyria, OH [electrical] = $2,700 (trust=90)
  SEED Elyria, OH [solar] = $31,100 (trust=90)
  SEED Euclid, OH [roofing] = $13,600 (trust=90)
  SEED Euclid, OH [hvac] = $10,100 (trust=90)
  SEED Euclid, OH [plumbing] = $2,700 (trust=90)
  SEED Euclid, OH [electrical] = $2,700 (trust=90)
  SEED Euclid, OH [solar] = $31,100 (trust=90)
  SEED Fairfield, OH [roofing] = $13,000 (trust=90)
  SEED Fairfield, OH [hvac] = $10,000 (trust=90)
  SEED Fairfield, OH [plumbing] = $2,700 (trust=90)
  SEED Fairfield, OH [electrical] = $2,600 (trust=90)
  SEED Fairfield, OH [solar] = $29,900 (trust=90)
  SEED Findlay, OH [roofing] = $12,300 (trust=90)
  SEED Findlay, OH [hvac] = $9,600 (trust=90)
  SEED Findlay, OH [plumbing] = $2,600 (trust=90)
  SEED Findlay, OH [electrical] = $3,000 (trust=90)
  SEED Findlay, OH [solar] = $32,900 (trust=90)
  SEED Grove City, OH [roofing] = $13,700 (trust=90)
  SEED Grove City, OH [hvac] = $10,200 (trust=90)
  SEED Grove City, OH [plumbing] = $2,700 (trust=90)
  SEED Grove City, OH [electrical] = $2,700 (trust=90)
  SEED Grove City, OH [solar] = $30,900 (trust=90)
  SEED Hamilton, OH [roofing] = $13,000 (trust=90)
  SEED Hamilton, OH [hvac] = $10,000 (trust=90)
  SEED Hamilton, OH [plumbing] = $2,700 (trust=90)
  SEED Hamilton, OH [electrical] = $2,600 (trust=90)
  SEED Hamilton, OH [solar] = $29,900 (trust=90)
  SEED Huber Heights, OH [roofing] = $12,900 (trust=90)
  SEED Huber Heights, OH [hvac] = $10,000 (trust=90)
  SEED Huber Heights, OH [plumbing] = $2,600 (trust=90)
  SEED Huber Heights, OH [electrical] = $2,600 (trust=90)
  SEED Huber Heights, OH [solar] = $29,400 (trust=90)
  SEED Kettering, OH [roofing] = $12,900 (trust=90)
  SEED Kettering, OH [hvac] = $10,000 (trust=90)
  SEED Kettering, OH [plumbing] = $2,600 (trust=90)
  SEED Kettering, OH [electrical] = $2,600 (trust=90)
  SEED Kettering, OH [solar] = $29,400 (trust=90)
  SEED Lakewood, OH [roofing] = $13,600 (trust=90)
  SEED Lakewood, OH [hvac] = $10,100 (trust=90)
  SEED Lakewood, OH [plumbing] = $2,700 (trust=90)
  SEED Lakewood, OH [electrical] = $2,700 (trust=90)
  SEED Lakewood, OH [solar] = $31,100 (trust=90)
  SEED Lancaster, OH [roofing] = $13,700 (trust=90)
  SEED Lancaster, OH [hvac] = $10,200 (trust=90)
  SEED Lancaster, OH [plumbing] = $2,700 (trust=90)
  SEED Lancaster, OH [electrical] = $2,700 (trust=90)
  SEED Lancaster, OH [solar] = $30,900 (trust=90)
  SEED Lima, OH [roofing] = $11,800 (trust=90)
  SEED Lima, OH [hvac] = $9,600 (trust=90)
  SEED Lima, OH [plumbing] = $2,500 (trust=90)
  SEED Lima, OH [electrical] = $2,600 (trust=90)
  SEED Lima, OH [solar] = $29,800 (trust=90)
  SEED Lorain, OH [roofing] = $13,600 (trust=90)
  SEED Lorain, OH [hvac] = $10,100 (trust=90)
  SEED Lorain, OH [plumbing] = $2,700 (trust=90)
  SEED Lorain, OH [electrical] = $2,700 (trust=90)
  SEED Lorain, OH [solar] = $31,100 (trust=90)
  SEED Mansfield, OH [roofing] = $11,800 (trust=90)
  SEED Mansfield, OH [hvac] = $9,500 (trust=90)
  SEED Mansfield, OH [plumbing] = $2,500 (trust=90)
  SEED Mansfield, OH [electrical] = $2,500 (trust=90)
  SEED Mansfield, OH [solar] = $28,400 (trust=90)
  SEED Mentor, OH [roofing] = $13,600 (trust=90)
  SEED Mentor, OH [hvac] = $10,100 (trust=90)
  SEED Mentor, OH [plumbing] = $2,700 (trust=90)
  SEED Mentor, OH [electrical] = $2,700 (trust=90)
  SEED Mentor, OH [solar] = $31,100 (trust=90)
  SEED Middletown, OH [roofing] = $13,000 (trust=90)
  SEED Middletown, OH [hvac] = $10,000 (trust=90)
  SEED Middletown, OH [plumbing] = $2,700 (trust=90)
  SEED Middletown, OH [electrical] = $2,600 (trust=90)
  SEED Middletown, OH [solar] = $29,900 (trust=90)
  SEED Newark, OH [roofing] = $13,700 (trust=90)
  SEED Newark, OH [hvac] = $10,200 (trust=90)
  SEED Newark, OH [plumbing] = $2,700 (trust=90)
  SEED Newark, OH [electrical] = $2,700 (trust=90)
  SEED Newark, OH [solar] = $30,900 (trust=90)
  SEED Parma, OH [roofing] = $13,600 (trust=90)
  SEED Parma, OH [hvac] = $10,100 (trust=90)
  SEED Parma, OH [plumbing] = $2,700 (trust=90)
  SEED Parma, OH [electrical] = $2,700 (trust=90)
  SEED Parma, OH [solar] = $31,100 (trust=90)
  SEED Springfield, OH [roofing] = $12,300 (trust=90)
  SEED Springfield, OH [hvac] = $9,600 (trust=90)
  SEED Springfield, OH [plumbing] = $2,400 (trust=90)
  SEED Springfield, OH [electrical] = $2,500 (trust=90)
  SEED Springfield, OH [solar] = $28,200 (trust=90)
  SEED Strongsville, OH [roofing] = $13,600 (trust=90)
  SEED Strongsville, OH [hvac] = $10,100 (trust=90)
  SEED Strongsville, OH [plumbing] = $2,700 (trust=90)
  SEED Strongsville, OH [electrical] = $2,700 (trust=90)
  SEED Strongsville, OH [solar] = $31,100 (trust=90)
  SEED Toledo, OH [roofing] = $12,500 (trust=90)
  SEED Toledo, OH [hvac] = $10,300 (trust=90)
  SEED Toledo, OH [plumbing] = $2,600 (trust=90)
  SEED Toledo, OH [electrical] = $2,800 (trust=90)
  SEED Toledo, OH [solar] = $31,200 (trust=90)
  SEED Warren, OH [roofing] = $12,800 (trust=90)
  SEED Warren, OH [hvac] = $9,400 (trust=90)
  SEED Warren, OH [plumbing] = $2,500 (trust=90)
  SEED Warren, OH [electrical] = $2,400 (trust=90)
  SEED Warren, OH [solar] = $27,800 (trust=90)
  SEED Westerville, OH [roofing] = $13,700 (trust=90)
  SEED Westerville, OH [hvac] = $10,200 (trust=90)
  SEED Westerville, OH [plumbing] = $2,700 (trust=90)
  SEED Westerville, OH [electrical] = $2,700 (trust=90)
  SEED Westerville, OH [solar] = $30,900 (trust=90)
  SEED Youngstown, OH [roofing] = $12,800 (trust=90)
  SEED Youngstown, OH [hvac] = $9,400 (trust=90)
  SEED Youngstown, OH [plumbing] = $2,500 (trust=90)
  SEED Youngstown, OH [electrical] = $2,400 (trust=90)
  SEED Youngstown, OH [solar] = $27,800 (trust=90)
  SEED Broken Arrow, OK [roofing] = $11,700 (trust=90)
  SEED Broken Arrow, OK [hvac] = $9,000 (trust=90)
  SEED Broken Arrow, OK [plumbing] = $2,500 (trust=90)
  SEED Broken Arrow, OK [electrical] = $2,500 (trust=90)
  SEED Broken Arrow, OK [solar] = $28,000 (trust=90)
  SEED Edmond, OK [roofing] = $11,900 (trust=90)
  SEED Edmond, OK [hvac] = $9,500 (trust=90)
  SEED Edmond, OK [plumbing] = $2,400 (trust=90)
  SEED Edmond, OK [electrical] = $2,500 (trust=90)
  SEED Edmond, OK [solar] = $27,800 (trust=90)
  SEED Enid, OK [roofing] = $10,300 (trust=90)
  SEED Enid, OK [hvac] = $8,500 (trust=90)
  SEED Enid, OK [plumbing] = $2,200 (trust=90)
  SEED Enid, OK [electrical] = $2,200 (trust=90)
  SEED Enid, OK [solar] = $25,100 (trust=90)
  SEED Lawton, OK [roofing] = $10,200 (trust=90)
  SEED Lawton, OK [hvac] = $9,100 (trust=90)
  SEED Lawton, OK [plumbing] = $2,200 (trust=90)
  SEED Lawton, OK [electrical] = $2,700 (trust=90)
  SEED Lawton, OK [solar] = $29,000 (trust=90)
  SEED Midwest City, OK [roofing] = $11,900 (trust=90)
  SEED Midwest City, OK [hvac] = $9,500 (trust=90)
  SEED Midwest City, OK [plumbing] = $2,400 (trust=90)
  SEED Midwest City, OK [electrical] = $2,500 (trust=90)
  SEED Midwest City, OK [solar] = $27,800 (trust=90)
  SEED Moore, OK [roofing] = $11,900 (trust=90)
  SEED Moore, OK [hvac] = $9,500 (trust=90)
  SEED Moore, OK [plumbing] = $2,400 (trust=90)
  SEED Moore, OK [electrical] = $2,500 (trust=90)
